country,import_shipments,export_shipments,top_import_source,import_source_share_pct,top_export_market,export_market_share_pct,top_export_commodity,top_import_commodity
Trinidad and Tobago,2133409,2444175,United States,74,United States,79,Steel & Iron,Cocoa
Tunisia,4011411,3607860,Germany,23,Germany,41,Garments & Apparel,Sugar
Turkiye,161976961,144842184,China,22,Germany,22,Garments & Apparel,Steel & Iron
Turkmenistan,714902,2719326,,,China,95,Refined Petroleum,
Tuvalu,3147,6174,,,,,,
Uganda,679714,560527,China,69,Italy,27,Spices,
Ukraine,12357418,24263452,Poland,23,Turkiye,15,Steel & Iron,Machinery
United Arab Emirates,55761395,50690797,China,33,Japan,20,Refined Petroleum,Electronics
United Kingdom,444557704,257870751,China,22,United States,22,Machinery,Machinery
United States,1820920569,1218510424,China,28,Mexico,25,Machinery,Machinery
Uruguay,3246836,6142990,Brazil,37,China,33,Poultry,Sports Goods
Uzbekistan,3778509,1429980,China,42,Turkiye,56,Copper,Copper
Vanuatu,71757,47890,,,,,,
Venezuela,3938448,4866764,United States,44,United States,46,Refined Petroleum,Wheat
Vietnam,108449718,139115389,China,39,United States,37,Electronics,Electronics
Zambia,1639661,2674919,South Africa,92,China,82,Copper,Copper
Zimbabwe,1757561,1843483,South Africa,92,China,54,Steel & Iron,Wheat
